id_inventario;titulo;nombre_autor;fecha_creacion;fondo (cm);ancho (cm);alto (cm);tecnica;tipo;material_base;material_secundario;tematica;estado_patrimonial;usuario;alta;valor_adquisicion(euros)
1001535;SERIE ESCENAS ESPA?OLAS. II.;BAROJA, RICARDO;DESCONOCIDO;0;215;135;DESCONOCIDA;PINTURA;;;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;2404
1001536;SERIE ESCENAS ESPA?OLAS;BAROJA, RICARDO;01.01.2008;0;215;135;DESCONOCIDA;OBRA GRAFICA;PAPEL;TINTA;COSTUMBRISMO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;2404
1001537;SERIE ESCENAS ESPA?OLAS. IV.;BAROJA, RICARDO;01.01.2008;0;215;135;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;2404
1001538;SERIE ESCENAS ESPA?OLAS. V.;BAROJA, RICARDO;DESCONOCIDO;0;395;295;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;30051
1001539;SERIE ESCENAS ESPA?OLAS. VI.;BAROJA, RICARDO;DESCONOCIDO;0;395;295;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;30051
1001540;SERIE ESCENAS ESPA?OLAS. VII.;BAROJA, RICARDO;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;2404
1001541;GOGUEN;CASTA?O, CARMEN;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;36061
1001542;SILLA CON TELA;DIAZ BAUTISTA, ANTONIO;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;1803
1001543;BOTELLA DE LICOR;DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;OTROS;;CRISTAL;SIN DEFINIR;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;0
1001544;BOTELLA DE LICOR;DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;OTROS;;CRISTAL;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001545;UNA PAREJA DE JOVENES BISCUIT;DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;OTROS;;PORCELANA;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001546;GALERA-MACETERO;DESCONOCIDO;DESCONOCIDO;500;750;390;DESCONOCIDA;OTROS;;MADERA;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
