id_inventario,titulo,nombre_autor,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
1001559,RETRATO DE ADELA,"BONAFE, JUAN",0.0,45.0,66.0,DESCONOCIDA,DIBUJO,,,RETRATO
1001560,RETRATO DE ADELA,"BONAFE, JUAN",0.0,35.0,44.0,DESCONOCIDA,DIBUJO,,,RETRATO
1001561,RETRATO DE SE�ORA DE NICOLAS,JULIO ANTONIO,0.0,28.8,28.0,DESCONOCIDA,DIBUJO,,ACUARELA,RETRATO
1001562,DA,"GOMEZ CANO, ANTONIO",0.0,70.5,50.0,DESCONOCIDA,PINTURA,,OLEO,RETRATO
1001563,PAISAJE DE BILBAO,"GOMEZ CANO, ANTONIO",0.0,34.0,59.0,DESCONOCIDA,PINTURA,,OLEO,PAISAJE
1001564,LIBROS Y CERAMICA,"GOMEZ CANO, ANTONIO",0.0,81.0,61.0,DESCONOCIDA,PINTURA,,OLEO,INTERIOR
1001565,PAISAJE DEL RIO,VICTORIO NICOLAS,0.0,60.0,45.0,DESCONOCIDA,PINTURA,,ACUARELA,PAISAJE
1001566,OCHO DE ESPADAS,"BELZUNCE, MANOLO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001567,NUEVE DE ESPADAS.,"CACHO, JOSE LUIS",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001568,DIEZ DE ESPADAS,"MARTINEZ MENGUAL, ANTONIO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001569,ONCE DE ESPADAS,"SAURA SERNA, FRANCISCO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001570,DOCE DE ESPADAS,"AZPARREN, J.",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001571,AS DE BASTOS,"MOLINA SANCHEZ, JOSE ANTONIO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001572,DOS DE BASTOS,"BARNUEVO, MANUEL",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001573,TRES DE BASTOS,"JIMENEZ, ANTONIO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001574,CUATRO DE BASTOS,"HARO, ANGEL",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001575,CINCO DE BASTOS,"ALONSO LUZZY, RAMON",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001576,SEIS DE BASTOS,"CAMPUZANO MORENO, ESTEBAN",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001577,SIETE DE BASTOS,"CANOVAS SALA, FRANCISCO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001578,OCHO DE BASTOS,"LINARES, ESTEBAN",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001579,NUEVE DE BASTOS,"VIVO, PACO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001580,DIEZ DE BASTOS,"DELGADO, MANUEL",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001581,ONCE DE BATOS,"CONESA, PACO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001582,DOCE DE BASTOS,"GARCIA OLIVARES, ADELA",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001583,COMODIN,"PINA NORTES, �NGEL",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001584,COMODIN,"BALLESTER, ANTONIO",0.0,30.0,40.0,DESCONOCIDA,ESCULTURA,,,COMPOSICION
1001585,MAS ALLA DEL MAR,"ANDREU MAURANDI, DOLORES",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001586,CARTEL CAMPA�A ANIMACION A LA LECTURA,"SERNA VERDU, PEDRO",0.0,0.0,0.0,DESCONOCIDA,DIBUJO,,,SIN DEFINIR
1001587,TEXTURAS VEGETALES,"SALAS, PILAR",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001588,EIROS(LIMONES),"SALAS, PILAR",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001589,ALMENDRO,"BOVET, MATEO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001590,ALCARRE�A Y NARANJOS,"BORONAT, M.",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001591,VENTANA ANDALUZA,"MERCADO, JUAN DE DIOS",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001592,SEIS DE OROS,"NIETO, ENRIQUE",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
