N�_INVENTARIO;TITULO;NOMBRE_AUTOR;FECHA_CREACION;FONDO;ANCHO;ALTO;TECNICA;TIPO;MATERIAL_BASE;MATERIAL_SECUNDARIO;TEMATICA;ESTADO_PATRIMONIAL;USUARIO;ALTA;VALOR_ADQUISICION
1002199;ARCON DE MADERA DE ROBLE S. XVIII;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;1803.04
1002200;RETRATO DE D. CARLOS COLLADO MENA;"ALONSO LUZZY, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;3005.06
1002201;RETRATO DE D. CARLOS COLLADO MENA;"ALONSO LUZZY, RAMON";;0;81;100;;PINTURA;LIENZO;OLEO;RETRATO;Alta patrimonial;;COMPRAVENTA;3005.06
1002204;SAN ISIDRO (RETABLO DEL SACRAMENTO);ANONIMO;01.01.1700;25;40;68;;ESCULTURA;MADERA;ESTOFADO;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;24040.48
1002207;SAN JUAN (RETABLO MAYOR);ANONIMO;;35;50;90;;ESCULTURA;MADERA;ESTOFADO;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;18030.36
1002209;LA PRIMERA VEZ QUE OLI LA ROSA;"ALMANSA, NICOLAS";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;4808.10
1002210;CATORCE A�OS;"ALMANSA, NICOLAS";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;9015.18
1002212;PAISAJE DE LAS MINAS DE LA UNION;"GOMEZ CANO, CARLOS";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1502.53
1002217;EL RELEVO;HERNANDEZ CANO;;0;0;0;;ESCULTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002223;MENDIGO CON GUITARRA;"ROBLES LOPEZ, JOSE MARIA";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;601.01
1002224;NI�OS HUERTANOS;"ARAEZ, MONTSE";01.01.1998;0;41;33;;PINTURA;LIENZO;OLEO;COSTUMBRISMO;Alta patrimonial;;COMPRAVENTA;300.51
1002225;PROCESION DEL DOMINGO DE RESURRECCI�N;"ARTIGAS GUILLAMON ,CARMEN";;0;36.5;56.5;;PINTURA;TELA;ACRILICO;COSTUMBRISMO;Alta patrimonial;;COMPRAVENTA;901.52
1002226;BALNEARIO DEL MAR MENOR;"SERNA VERDU, PEDRO";;0;47.5;58.5;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;1502.53
1002227;VISTA DE UNA CALLE DE CARTGAGENA;"SAURA MIRA, FULGENCIO";01.01.1981;0;35;50;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;1081.82
