id_inventario,titulo,nombre_autor,fecha_creacion,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica,estado_patrimonial,usuario,alta,valor_adquisicion(euros)
1001555,MENINA EN GRISES,"MOLINA SANCHEZ, JOSE ANTONIO",01.01.0019,0.0,60.0,81.0,DESCONOCIDA,PINTURA,,OLEO,RETRATO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,9015.18
1001556,EL HUERTANO,"MOLINA SANCHEZ, JOSE ANTONIO",DESCONOCIDO,0.0,28.0,59.0,DESCONOCIDA,PINTURA,,TINTA,FIGURATIVO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,751.27
1001557,MUJER,"MOLINA SANCHEZ, JOSE ANTONIO",DESCONOCIDO,0.0,28.0,59.0,DESCONOCIDA,PINTURA,PAPEL,TINTA,RETRATO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,751.27
1001558,FUSILAMIENTOS,"BONAFE, JUAN",01.01.1937,0.0,100.0,81.0,DESCONOCIDA,PINTURA,,OLEO,FIGURATIVO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,9015.18
1001559,RETRATO DE ADELA,"BONAFE, JUAN",DESCONOCIDO,0.0,45.0,66.0,DESCONOCIDA,DIBUJO,,,RETRATO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,2103.54
1001560,RETRATO DE ADELA,"BONAFE, JUAN",DESCONOCIDO,0.0,35.0,44.0,DESCONOCIDA,DIBUJO,,,RETRATO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,2103.54
1001561,RETRATO DE SE�ORA DE NICOLAS,JULIO ANTONIO,DESCONOCIDO,0.0,28.8,28.0,DESCONOCIDA,DIBUJO,,ACUARELA,RETRATO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1502.53
1001562,DA,"GOMEZ CANO, ANTONIO",DESCONOCIDO,0.0,70.5,50.0,DESCONOCIDA,PINTURA,,OLEO,RETRATO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,6010.12
1001563,PAISAJE DE BILBAO,"GOMEZ CANO, ANTONIO",DESCONOCIDO,0.0,34.0,59.0,DESCONOCIDA,PINTURA,,OLEO,PAISAJE,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,6010.12
1001564,LIBROS Y CERAMICA,"GOMEZ CANO, ANTONIO",01.01.1960,0.0,81.0,61.0,DESCONOCIDA,PINTURA,,OLEO,INTERIOR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,6010.12
