,nombre_autor
263,"SORIANO TALAVERA, ANTONIO"
264,"SERNA VERDU, PEDRO"
265,"SERNA VERDU, PEDRO"
266,"SERNA VERDU, PEDRO"
267,"TAYLOR, ANN"
268,TEO
269,"VALERA, CEFERINO"
270,"VALERA, CEFERINO"
271,DESCONOCIDO
272,"BRIASCO, VICTORIANO"
273,"LUCAS, PEPE"
274,"LUCAS, PEPE"
275,"SORIANO TALAVERA, ANTONIO"
276,"SORIANO TALAVERA, ANTONIO"
277,"SORIANO TALAVERA, ANTONIO"
278,"NIETO, ENRIQUE"
279,"NIETO, ENRIQUE"
280,"PALAO, M."
281,"PALAO, M."
282,"NAVARRO, GABRIEL"
283,"ALONSO LUZZY, RAMON"
284,"RUIZ, VICENTE"
285,MUHER
286,"MU�OZ BARBERAN, MANUEL"
287,"MARTINEZ MENGUAL, ANTONIO"
288,"NAVARRO, GABRIEL"
289,"LOZANO, LUIS"
290,"MONTEAGUDO, ANGEL"
291,"PARRAGA, JOSE MARIA"
292,"PARRAGA, JOSE MARIA"
293,"BRAQUEHAIS,RAFAEL"
294,"CANOVAS SALA, FRANCISCO"
295,JIMENEZ ASENSIO
296,"VALERA, CEFERINO"
297,"CARRASCO JIMENO,JOSE MARIA"
298,"PINA NORTES, �NGEL"
299,"PALAO, M."
300,"PALAO, M."
301,"PALAO, M."
302,"PASTOR, LUIS MANUEL"
303,"ROJO MARTIN, CHARO"
304,"LUCAS, PEPE"
305,"LUCAS, PEPE"
306,"LUCAS, PEPE"
307,"LUCAS, PEPE"
308,"LUCAS, PEPE"
309,"LUCAS, PEPE"
310,"LUCAS, PEPE"
311,"LUCAS, PEPE"
312,"LUCAS, PEPE"
313,"LUCAS, PEPE"
314,"LOPEZ, CONCHI"
315,"MU�OZ BARBERAN, MANUEL"
316,"MOLINA SANCHEZ, JOSE ANTONIO"
317,"ROMERA NAVARRO, MARCOS SALVADO"
318,"MOLINA SANCHEZ, JOSE ANTONIO"
319,"MU�OZ BARBERAN, MANUEL"
320,"MU�OZ BARBERAN, MANUEL"
321,"MOLINA SANCHEZ, JOSE ANTONIO"
322,"MU�OZ BARBERAN, MANUEL"
323,"MORALES, SOFIA"
324,"MOLINA SANCHEZ, JOSE ANTONIO"
325,NAVARRO CARRETERO
326,"MU�OZ BARBERAN, MANUEL"
327,"NIETO, ENRIQUE"
328,"NIETO, ENRIQUE"
329,"NIETO, ENRIQUE"
330,"CORONADO, MANUEL"
331,"CANO HERNANDEZ, PEDRO"
332,"EVANGELISTA, JUAN"
333,"FLORES, PEDRO"
334,"FLORES, PEDRO"
335,"GONZALEZ, MARCOS"
336,"GAYA, RAMON"
337,"GONZALEZ, MARCOS"
338,"GONZALEZ MORENO, JUAN"
339,"GAYA, RAMON"
340,"GARCIA, IGNACIO"
341,"GOMEZ CANO, ANTONIO"
342,"HARO, ANGEL"
343,"HARO, ANGEL"
344,"HARO, ANGEL"
345,"HARO, ANGEL"
346,JIMENEZ ASENSIO
347,"JIMENEZ ASENSIO, JUAN"
348,JORQUERA MINGUEZ
349,"LUCAS, PEPE"
350,"LUCAS, PEPE"
351,"LOPEZ, IGNACIO"
352,"LUCAS, PEPE"
353,"LUCAS, PEPE"
354,"LUCAS, PEPE"
355,"LUCAS, PEPE"
356,"KAZARIN, VICTOR"
357,"SANCHEZ LOPEZ, PEDRO"
358,"ALONSO LUZZY, RAMON"
359,"ALONSO LUZZY, RAMON"
360,"ALONSO LUZZY, RAMON"
361,"AVELLANEDA, MANUEL"
362,"ADALID, LUIS"
363,"ALONSO LUZZY, RAMON"
364,"AVELLANEDA, MANUEL"
365,"BALLESTER NAVARRO, MARIANO"
366,"BARCELO, JOSE"
367,"LUCAS, PEPE"
368,"BRAQUEHAIS,RAFAEL"
369,CAPARROS
370,"CEREZO, ANGELES"
371,"CARRASCO JIMENO,JOSE MARIA"
372,"EDUARDO CAPARROS, V."
373,"CANO HERNANDEZ, PEDRO"
374,CARRETERO
375,CAPARROS
376,CAPARROS
377,CANOVAS
378,"EDUARDO CAPARROS, V."
379,"EDUARDO CAPARROS, V."
380,"CORONADO, MANUEL"
381,"CORONADO, MANUEL"
382,"SALINAS, PACO"
383,"SALINAS, PACO"
384,"MOLINA, VICENTE JUAN"
385,"PARRA, LEANDRO"
386,"ALONSO LUZZY, RAMON"
387,"ALONSO LUZZY, RAMON"
388,"SAURA, ANGELES"
389,"MARTINEZ MENGUAL, ANTONIO"
390,"LUCAS, PEPE"
391,FERINGTON
392,"FERNANDEZ SAURA, ANGEL"
393,"SAURA, ANTONIO"
394,"SAURA, ANTONIO"
395,"SAURA, ANTONIO"
396,"SAURA, ANTONIO"
397,"FERNANDEZ SAURA, ANGEL"
398,"FERNANDEZ SAURA, ANGEL"
399,"FERNANDEZ SAURA, ANGEL"
400,"FERNANDEZ SAURA, ANGEL"
401,"FERNANDEZ SAURA, ANGEL"
402,"GARZA,RAMON"
403,"SANCHEZ LOPEZ, PEDRO"
404,"NIETO, ENRIQUE"
405,"MU�OZ BARBERAN, MANUEL"
406,DESCONOCIDO
407,"VIVO, PACO"
408,"GARZA,RAMON"
409,"PEREZ MARTINEZ, AURELIO"
410,CANOVAS
411,DESCONOCIDO
412,DESCONOCIDO
413,DESCONOCIDO
414,DESCONOCIDO
415,DESCONOCIDO
416,DESCONOCIDO
417,"OTAMENDI BARANGUAN, KUTXU"
418,"LAMAS, MENCHU"
419,"FIGARI LLOP, DIEGO"
420,"CLARAMUNT, LUIS"
421,"DOKOUPIL, GEORGE J."
422,AGUDO CRESPO
423,CAMPANO
424,"TORNE VALLE, GONZALO"
425,SALVADOR FERNANDEZ
426,"SAURA SERNA, FRANCISCO"
427,SALVADOR FERNANDEZ
428,"GARRIGOS MESEGUER, ALFONSO"
429,"GARRIGOS MESEGUER, ALFONSO"
430,"PARRAGA, JOSE MARIA"
431,"SALINAS, PACO"
432,"GARZA,RAMON"
433,"GARZA,RAMON"
434,"BARNUEVO, MANUEL"
435,"GARZA,RAMON"
436,"ROMERA NAVARRO, MARCOS SALVADO"
437,LUIS M.
438,"VAZQUEZ,A.M."
439,"ARTIGAS GUILLAMON ,CARMEN"
440,"PARRAGA, JOSE MARIA"
441,"PARRAGA, JOSE MARIA"
442,"HERNANDEZ CARPE, ANTONIO"
443,"HERNANDEZ CARPE, ANTONIO"
444,"VIVO, PACO"
445,DESCONOCIDO
446,KHAZZOUM
447,DESCONOCIDO
448,"VIUDES, VICENTE"
449,"ESCORIAL, CARMEN"
450,"PARRAGA, JOSE MARIA"
451,"PORTILLO, PABLO"
452,"LUCAS, PEPE"
453,"MARTINEZ MENGUAL, ANTONIO"
454,"HERNANDEZ CARPE, ANTONIO"
455,"HERNANDEZ CARPE, ANTONIO"
456,"GARCIA SILVA, FRANCISCO"
457,"CANO HERNANDEZ, PEDRO"
458,"PARRA, NICOLAS"
459,"PARRA, NICOLAS"
460,"HARO, ANGEL"
461,"CHARRIS, ANGEL MATEO"
462,"CEBALLOS, TOMY"
463,"MARQUEZ, PABLO"
464,"MARQUEZ, PABLO"
465,MARTINEZ LAX
466,MARTINEZ LAX
467,MARTINEZ LAX
468,"NIETO, ENRIQUE"
469,"NIETO, ENRIQUE"
470,"NIETO, ENRIQUE"
471,"BALLESTER, ANTONIO"
472,"PARRA, LEANDRO"
473,"CEREZO MONTILLA, FRANCISCO"
474,DESCONOCIDO
475,"CHARRIS, ANGEL MATEO"
476,"TAPIES, ANTONI"
477,ARROYO
478,"SAURA, ANTONIO"
479,CANOVAS
480,"BARNUEVO, MANUEL"
481,DESCONOCIDO
482,"GOMEZ CANO, CARLOS"
483,"PARDO, PEDRO"
484,HAIG.A.H.
485,GUIRAO
486,GUIRAO
487,DESCONOCIDO
488,"LINARES, ESTEBAN"
489,"GARCIA SILVA, FRANCISCO"
490,BARBA
491,"CEREZO, ZACARIAS"
