,nombre_autor
1550,"PARRAGA, JOSE MARIA"
1551,"PARRAGA, JOSE MARIA"
1552,"PARRAGA, JOSE MARIA"
1553,DESCONOCIDO
1554,"MU�OZ BARBERAN, MANUEL"
1555,"BARNUEVO, MANUEL"
1556,"BELZUNCE, MANOLO"
1557,"CACHO, JOSE LUIS"
1558,"CATARINEU, DORA"
1559,DESCONOCIDO
1560,"HARO, ANGEL"
1561,"LINARES, ESTEBAN"
1562,"LUCAS, PEPE"
1563,"LUCAS, PEPE"
1564,EMILIO PASCUAL
1565,WILLI RAMOS
1566,DESCONOCIDO
1567,"MOLINA SANCHEZ, LUIS"
1568,"SANZ FARGAS, J."
1569,"FALGAS RIGAL, JOSE MARIA"
1570,"BELZUNCE, MANOLO"
1571,"BELZUNCE, MANOLO"
1572,"VIVO SANCHEZ, MIGUEL"
1573,"BALLESTER, ANTONIO"
1574,"MU�OZ BARBERAN, MANUEL"
1575,"BARNUEVO, MANUEL"
1576,"BELZUNCE, MANOLO"
1577,"CACHO, JOSE LUIS"
1578,"CATARINEU, DORA"
1579,OO
1580,"HARO, ANGEL"
1581,"LINARES, ESTEBAN"
1582,"LUCAS, PEPE"
1583,"LUCAS, PEPE"
1584,EMILIO PASCUAL
1585,WILLI RAMOS
1586,DESCONOCIDO
1587,"MOLINA SANCHEZ, LUIS"
1588,"SANZ FARGAS, J."
1589,"QUIROS ILLAN, JUAN JOSE"
1590,"LUCAS, PEPE"
1591,"OLIVARES DIAZ, FRANCISCO"
1592,"SAURA, ANTONIO"
1593,"PEREZ CASANOVA, PEDRO DIEGO"
1594,"PEREZ CASANOVA, PEDRO DIEGO"
1595,"PEREZ CASANOVA, PEDRO DIEGO"
1596,GALLEGO
1597,DESCONOCIDO
1598,VARIOS
1599,"NIETO, ENRIQUE"
1600,DESCONOCIDO
1601,INMACULADA ALCAZAR CORRAL
1602,MARIA INMACULADA BERNAL ORENES
1603,ROCIO CARRASCO MARTINEZ
1604,CRISTIAN CARRILLO PEREZ
1605,ALMUDENA DIA-MADRO�ERO MADRIG
1606,MARGARITA GARRIDO GUILLAM�N
1607,MARIA HUERTAS LLAMAS CARRASCO
1608,MARIA MESA DEL CASTILLO BERME
1609,VIVIANA MONTA�O GONZALEZ
1610,MARTA PALAO ORTU�O
1611,SUSANA PALAZON BERNAL
1612,AMALIA POZUELO HURTADO
1613,FLAVIA VERA MAESTRE
1614,MERCEDES VIARTOLA BRA�A
1615,JOAQUIN TOVAR GARCIA
1616,PASCUAL MARTINEZ MARTINEZ
1617,CECILIA VIVANCOS ARRONIZ
1618,CONTINUUM AFECTIVO
1619,MARCOS FACCIO
1620,"RODA DEL CASTILLO, EMILIO"
1621,DESCONOCIDO
1622,OO
1623,OO
1624,"LAMBERTOS, PABLO ANTONIO"
1625,"NAVARRO, SONIA"
1626,DESCONOCIDO
1627,DESCONOCIDO
1628,"CANO HERNANDEZ, PEDRO"
1629,"MORALES, SOFIA"
1630,"GAYA, RAMON"
1631,"ALONSO LUZZY, RAMON"
1632,"PEREZ MARTINEZ, AURELIO"
1633,"MOLINA SANCHEZ, JOSE ANTONIO"
1634,"MARTINEZ BALLESTER, JOSE JUAN"
1635,"AVELLANEDA, MANUEL"
1636,ALBACETE. ALFONSO
1637,"ALBALADEJO GARCIA, GINESA"
1638,JOSE MANUEL CIRIA
1639,"CAMPILLO PARRAGA, ANTONIO"
