id_autor,id_usuario,titulo,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
1605,1,COLLAGE,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2048,1,ESPIRAL N� 7,6.0,22.5,38.0,DESCONOCIDA,ESCULTURA,MADERA,HIERRO,SIN DEFINIR
2144,1,PUERTO DE MAHON,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2104,1,FRIEDERICH Y MARGRITTE SE CITAN EN VANO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2145,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2146,1,HABITACION DE HOTEL,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1636,1,EL MOZO'S PA',0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2148,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2149,3,BOURGEOIS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2150,1,GRUA,0.0,100.0,43.0,DESCONOCIDA,PINTURA,TABLERO AGLOMERADO/CONTRACHAP.,TECNICA MIXTA,SIN DEFINIR
1535,1,PANTALLA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1640,1,VACACIONES EN EL LAGO TECNOLOGY,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2152,1,GOTAS,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2152,1,LA VIDA,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,OTROS,SIN DEFINIR
2153,1,VILLA MEDICIS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2153,1,EL PIE DE POLLOCK,0.0,98.0,116.0,DESCONOCIDA,PINTURA,LIENZO,OLEO,SIMBOLICO
2153,1,GUERRA DE GIGANTES,0.0,65.0,61.0,DESCONOCIDA,PINTURA,LIENZO,OLEO,EXPRESIONISMO
